entry_time,entry_price,exit_time,exit_price,profit_pts,win,spikes_caught,pnl_usd,equity
1771690080,3088.626,1771693920,3101.45,-12.824,False,0,-3.0,1698.0
1771706160,3101.27,1771710000,3111.521,-10.251,True,1,10.0,1708.0
1771713900,3091.451,1771717740,3108.704,-17.253,True,1,10.0,1718.0
1771729980,3122.069,1771733820,3118.873,3.196,True,1,10.0,1728.0
1771733940,3119.307,1771737780,3124.785,-5.478,True,2,10.0,1738.0
1771747020,3129.238,1771750860,3134.057,-4.819,True,2,10.0,1748.0
1771756680,3107.493,1771760520,3125.896,-18.403,False,0,-3.0,1745.0
1771772100,3104.711,1771775940,3117.879,-13.168,True,1,10.0,1755.0
1771781220,3101.59,1771785060,3101.058,0.532,True,2,10.0,1765.0
1771785360,3101.709,1771789200,3089.713,11.996,True,5,10.0,1775.0
1771792560,3084.585,1771796400,3096.535,-11.95,False,0,-3.0,1772.0
1771798740,3094.08,1771802580,3108.121,-14.041,True,1,10.0,1782.0
1771824000,3112.922,1771827840,3101.386,11.536,True,3,10.0,1792.0
1771830840,3094.521,1771834680,3111.776,-17.255,True,1,10.0,1802.0
1771838580,3101.066,1771842420,3084.186,16.88,True,2,10.0,1812.0
1771844100,3081.596,1771847940,3083.81,-2.214,True,4,10.0,1822.0
1771850460,3073.744,1771854300,3065.939,7.805,True,3,10.0,1832.0
1771854420,3066.387,1771858260,3066.677,-0.29,True,2,10.0,1842.0
1771858560,3068.254,1771862400,3069.598,-1.344,True,2,10.0,1852.0
1771865940,3059.077,1771869780,3069.184,-10.107,True,1,10.0,1862.0
1771872840,3058.681,1771876680,3059.79,-1.109,True,3,10.0,1872.0
1771876800,3060.104,1771880640,3068.009,-7.905,True,2,10.0,1882.0
1771916340,3108.144,1771920180,3090.775,17.369,True,5,10.0,1892.0
1771922940,3093.528,1771926780,3105.4,-11.872,False,0,-3.0,1889.0
1771952400,3125.532,1771956240,3130.513,-4.981,True,2,10.0,1899.0
1771988700,3125.033,1771992540,3111.328,13.705,True,5,10.0,1909.0
1771994220,3115.539,1771998060,3111.74,3.799,True,3,10.0,1919.0
1771999620,3110.19,1772003460,3119.74,-9.55,False,0,-3.0,1916.0
1772003580,3119.604,1772007420,3115.101,4.503,True,2,10.0,1926.0
1772011560,3103.055,1772015400,3105.498,-2.443,True,3,10.0,1936.0
1772016900,3107.239,1772020740,3116.364,-9.125,True,2,10.0,1946.0
1772024580,3102.157,1772028420,3117.398,-15.241,False,0,-3.0,1943.0
1772037180,3108.238,1772041020,3087.467,20.771,True,6,10.0,1953.0
1772041260,3088.581,1772045100,3078.656,9.925,True,3,10.0,1963.0
1772045820,3082.009,1772049660,3090.275,-8.266,True,1,10.0,1973.0
1772049780,3090.601,1772053620,3096.074,-5.473,True,1,10.0,1983.0
1772073300,3115.155,1772077140,3129.658,-14.503,True,1,10.0,1993.0
1772088960,3127.552,1772092800,3135.001,-7.449,True,3,10.0,2003.0
